Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
01.09.2021;00:00;1.038;514;477;1.502;0;36;1.977;2.663;2.121;697;47;334
01.09.2021;00:15;1.038;504;482;1.458;0;36;1.976;2.633;2.088;726;26;333
01.09.2021;00:30;1.031;487;468;1.444;0;36;1.975;2.614;2.064;728;15;329
01.09.2021;00:45;1.036;503;411;1.439;0;36;1.975;2.610;2.056;728;8;330
01.09.2021;01:00;1.036;533;384;1.420;0;36;1.977;2.632;2.016;659;10;329
01.09.2021;01:15;1.035;523;344;1.418;0;36;1.978;2.626;1.996;667;7;326
01.09.2021;01:30;1.035;522;341;1.414;0;36;1.979;2.635;1.973;676;4;331
01.09.2021;01:45;1.033;518;315;1.421;0;36;1.979;2.652;1.973;670;1;329
01.09.2021;02:00;1.033;519;301;1.442;0;36;1.981;2.676;2.035;664;1;332
01.09.2021;02:15;1.032;514;296;1.428;0;36;1.980;2.681;2.028;655;1;329
01.09.2021;02:30;1.032;499;272;1.460;0;36;1.981;2.683;2.032;663;1;327
01.09.2021;02:45;1.030;522;251;1.477;0;36;1.980;2.677;2.015;659;0;330
01.09.2021;03:00;1.030;543;247;1.481;0;36;1.982;2.678;2.030;653;0;328
01.09.2021;03:15;1.030;537;231;1.501;0;36;1.981;2.670;2.049;654;0;330
01.09.2021;03:30;1.028;550;225;1.486;0;36;1.982;2.677;2.033;667;0;331
01.09.2021;03:45;1.027;547;234;1.475;0;36;1.982;2.680;2.022;668;1;328
01.09.2021;04:00;1.027;538;234;1.477;0;36;1.983;2.687;1.978;695;10;328
01.09.2021;04:15;1.027;532;221;1.464;0;36;1.984;2.703;1.990;696;10;323
01.09.2021;04:30;1.026;536;211;1.444;0;36;1.985;2.711;2.027;702;10;327
01.09.2021;04:45;1.024;538;187;1.427;0;36;1.984;2.708;2.073;704;14;332
01.09.2021;05:00;1.025;537;176;1.383;0;36;1.983;2.708;2.108;786;17;330
01.09.2021;05:15;1.025;539;173;1.338;0;36;1.983;2.708;2.143;862;19;324
01.09.2021;05:30;1.025;545;164;1.321;0;37;1.983;2.711;2.224;932;85;327
01.09.2021;05:45;1.024;568;156;1.313;0;37;1.984;2.730;2.299;1.077;114;326
01.09.2021;06:00;1.026;523;169;1.254;1;37;1.984;2.728;2.396;1.247;161;322
01.09.2021;06:15;1.026;519;171;1.217;4;37;1.984;2.742;2.453;1.464;100;325
01.09.2021;06:30;1.026;524;163;1.177;29;37;1.986;2.762;2.479;1.571;171;327
01.09.2021;06:45;1.026;559;161;1.145;89;38;1.986;2.778;2.492;1.587;372;326
01.09.2021;07:00;1.028;548;164;1.107;220;40;1.985;2.776;2.488;1.640;630;335
01.09.2021;07:15;1.029;566;154;1.076;418;41;1.986;2.780;2.491;1.673;723;339
01.09.2021;07:30;1.030;577;135;1.022;661;41;1.987;2.785;2.491;1.696;743;337
