Datum;Uhrzeit;Gesamt (Netzlast)[MWh];Residuallast[MWh];Pumpspeicher[MWh]
15.09.2021;00:00;12.048;9.212;368
15.09.2021;00:15;11.779;9.031;450
15.09.2021;00:30;11.599;8.929;416
15.09.2021;00:45;11.539;8.897;417
15.09.2021;01:00;11.384;8.798;605
15.09.2021;01:15;11.296;8.739;696
15.09.2021;01:30;11.208;8.664;720
15.09.2021;01:45;11.096;8.586;757
15.09.2021;02:00;11.075;8.583;879
15.09.2021;02:15;11.083;8.605;909
15.09.2021;02:30;11.141;8.693;923
15.09.2021;02:45;11.152;8.731;938
15.09.2021;03:00;10.986;8.587;973
15.09.2021;03:15;11.019;8.652;972
15.09.2021;03:30;11.040;8.689;968
15.09.2021;03:45;11.082;8.766;969
15.09.2021;04:00;11.260;9.054;865
15.09.2021;04:15;11.274;9.136;783
15.09.2021;04:30;11.445;9.364;698
15.09.2021;04:45;11.589;9.546;624
15.09.2021;05:00;11.855;9.810;738
15.09.2021;05:15;12.096;10.077;656
15.09.2021;05:30;12.493;10.472;555
15.09.2021;05:45;12.977;10.947;329
15.09.2021;06:00;13.746;11.703;410
15.09.2021;06:15;14.234;12.158;192
15.09.2021;06:30;14.576;12.485;135
15.09.2021;06:45;14.872;12.731;51
15.09.2021;07:00;15.127;12.905;144
15.09.2021;07:15;15.183;12.879;120
15.09.2021;07:30;15.425;13.025;83
15.09.2021;07:45;15.618;13.103;35
15.09.2021;08:00;15.972;13.275;57
15.09.2021;08:15;16.148;13.332;40
15.09.2021;08:30;16.280;13.351;41
15.09.2021;08:45;16.343;13.316;31
15.09.2021;09:00;16.262;13.147;6
15.09.2021;09:15;16.358;13.137;8
15.09.2021;09:30;16.432;13.067;26
15.09.2021;09:45;16.459;13.002;9
15.09.2021;10:00;16.611;13.081;2
15.09.2021;10:15;16.735;13.058;2
15.09.2021;10:30;16.767;12.967;2
15.09.2021;10:45;16.935;13.052;2
15.09.2021;11:00;17.074;13.122;4
15.09.2021;11:15;17.147;13.168;2
15.09.2021;11:30;17.201;13.235;2
15.09.2021;11:45;17.298;13.407;7
15.09.2021;12:00;17.146;13.245;52
15.09.2021;12:15;17.071;13.113;56
15.09.2021;12:30;16.960;12.973;57
15.09.2021;12:45;16.966;12.924;57
15.09.2021;13:00;16.835;12.788;3
15.09.2021;13:15;16.773;12.704;15
15.09.2021;13:30;16.647;12.525;35
15.09.2021;13:45;16.581;12.451;135
15.09.2021;14:00;16.497;12.409;232
15.09.2021;14:15;16.442;12.386;216
15.09.2021;14:30;16.388;12.330;244
15.09.2021;14:45;16.366;12.401;253
15.09.2021;15:00;16.284;12.439;59
15.09.2021;15:15;16.225;12.511;3
15.09.2021;15:30;16.061;12.454;5
15.09.2021;15:45;15.992;12.483;3
15.09.2021;16:00;16.080;12.686;10
15.09.2021;16:15;16.054;12.820;43
15.09.2021;16:30;15.965;12.796;43
15.09.2021;16:45;15.968;12.879;44
15.09.2021;17:00;16.071;13.001;69
15.09.2021;17:15;16.053;13.020;77
15.09.2021;17:30;16.164;13.170;91
15.09.2021;17:45;16.278;13.391;77
15.09.2021;18:00;16.125;13.322;77
15.09.2021;18:15;16.139;13.388;77
15.09.2021;18:30;16.085;13.411;74
15.09.2021;18:45;16.064;13.449;18
15.09.2021;19:00;16.092;13.471;1
15.09.2021;19:15;16.043;13.337;1
15.09.2021;19:30;16.128;13.362;1
15.09.2021;19:45;16.130;13.407;1
15.09.2021;20:00;15.928;13.134;1
15.09.2021;20:15;15.770;12.874;36
15.09.2021;20:30;15.486;12.492;63
15.09.2021;20:45;15.186;12.161;133
15.09.2021;21:00;14.942;11.884;30
15.09.2021;21:15;14.641;11.571;23
15.09.2021;21:30;14.303;11.219;39
15.09.2021;21:45;14.032;10.909;124
15.09.2021;22:00;13.688;10.471;63
15.09.2021;22:15;13.524;10.183;201
15.09.2021;22:30;13.317;9.962;239
15.09.2021;22:45;13.215;9.864;311
15.09.2021;23:00;12.748;9.436;452
15.09.2021;23:15;12.614;9.326;457
15.09.2021;23:30;12.386;9.134;507
15.09.2021;23:45;12.250;9.044;562
16.09.2021;00:00;12.130;9.000;297
16.09.2021;00:15;11.994;8.856;299
16.09.2021;00:30;11.882;8.787;348
16.09.2021;00:45;11.722;8.692;343
16.09.2021;01:00;11.522;8.450;260
16.09.2021;01:15;11.475;8.363;370
16.09.2021;01:30;11.384;8.243;479
16.09.2021;01:45;11.285;8.084;531
16.09.2021;02:00;11.145;7.874;767
16.09.2021;02:15;11.185;7.965;755
16.09.2021;02:30;11.212;8.039;779
16.09.2021;02:45;11.206;8.069;777
16.09.2021;03:00;11.147;7.935;871
16.09.2021;03:15;11.186;7.921;898
16.09.2021;03:30;11.211;7.954;904
16.09.2021;03:45;11.244;7.951;928
16.09.2021;04:00;11.354;8.058;857
16.09.2021;04:15;11.418;8.037;843
16.09.2021;04:30;11.600;8.130;876
16.09.2021;04:45;11.699;8.240;893
16.09.2021;05:00;12.030;8.538;555
16.09.2021;05:15;12.187;8.623;455
16.09.2021;05:30;12.486;8.915;454
16.09.2021;05:45;12.923;9.381;329
16.09.2021;06:00;13.864;10.325;303
