Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
01.01.2021;00:00;1.147;308;84;1.058;0;57;2.034;2.899;937;1.402;73;358
01.01.2021;00:15;1.145;301;88;1.025;0;57;2.036;2.905;872;1.416;95;358
01.01.2021;00:30;1.138;299;101;955;0;57;2.037;2.904;829;1.419;82;356
01.01.2021;00:45;1.139;298;108;931;0;57;2.038;2.901;805;1.412;98;354
01.01.2021;01:00;1.138;310;105;943;0;57;2.038;2.911;785;1.363;125;357
01.01.2021;01:15;1.137;297;103;922;0;57;2.037;2.898;759;1.348;99;354
01.01.2021;01:30;1.138;295;95;890;0;57;2.038;2.898;744;1.348;92;356
01.01.2021;01:45;1.139;295;90;860;0;57;2.038;2.896;757;1.351;80;358
01.01.2021;02:00;1.138;294;80;843;0;57;2.039;2.908;776;1.336;173;358
01.01.2021;02:15;1.137;290;76;833;0;57;2.040;2.910;770;1.329;106;356
01.01.2021;02:30;1.139;292;73;812;0;57;2.040;2.963;768;1.330;37;354
01.01.2021;02:45;1.135;289;76;782;0;57;2.038;2.977;754;1.318;33;351
01.01.2021;03:00;1.135;306;76;759;0;57;2.036;3.023;732;1.292;4;354
01.01.2021;03:15;1.133;292;77;721;0;57;2.040;3.055;717;1.293;1;351
01.01.2021;03:30;1.136;293;81;685;0;57;2.039;3.113;707;1.283;1;351
01.01.2021;03:45;1.136;289;84;663;0;57;2.039;3.147;697;1.259;1;354
01.01.2021;04:00;1.135;291;75;655;0;58;2.039;3.115;683;1.249;0;347
01.01.2021;04:15;1.134;289;74;638;0;58;2.039;3.092;676;1.252;2;346
01.01.2021;04:30;1.134;288;72;630;0;58;2.036;3.096;674;1.254;2;357
01.01.2021;04:45;1.132;287;71;614;0;58;2.037;3.093;681;1.239;2;360
01.01.2021;05:00;1.131;287;86;589;0;58;2.039;3.127;681;1.255;19;361
01.01.2021;05:15;1.135;287;102;552;0;58;2.036;3.148;677;1.268;10;358
