Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
04.09.2021;00:00;1.036;526;246;751;0;33;1.977;2.773;2.202;611;316;322
04.09.2021;00:15;1.037;507;248;712;0;33;1.979;2.775;2.184;595;174;323
04.09.2021;00:30;1.037;505;253;683;0;33;1.978;2.783;2.159;595;104;326
04.09.2021;00:45;1.035;506;254;663;0;33;1.979;2.785;2.146;591;61;325
04.09.2021;01:00;1.034;511;263;633;0;33;1.980;2.782;2.054;617;56;322
04.09.2021;01:15;1.033;505;263;619;0;33;1.980;2.763;1.945;616;64;322
04.09.2021;01:30;1.033;517;251;594;0;33;1.981;2.759;1.846;622;86;320
04.09.2021;01:45;1.031;500;246;573;0;33;1.982;2.758;1.842;623;63;322
04.09.2021;02:00;1.031;522;252;552;0;33;1.985;2.767;1.759;608;62;326
04.09.2021;02:15;1.030;512;240;530;0;33;1.984;2.756;1.748;614;38;325
04.09.2021;02:30;1.029;510;232;510;0;33;1.985;2.762;1.763;617;35;324
04.09.2021;02:45;1.026;511;219;502;0;33;1.985;2.749;1.768;616;30;325
04.09.2021;03:00;1.026;509;211;477;0;33;1.986;2.735;1.774;606;20;324
04.09.2021;03:15;1.026;501;221;454;0;33;1.986;2.736;1.780;605;31;323
04.09.2021;03:30;1.025;506;222;451;0;33;1.987;2.750;1.782;607;26;324
04.09.2021;03:45;1.022;510;215;440;0;33;1.987;2.738;1.776;601;30;324
04.09.2021;04:00;1.021;513;223;436;0;33;1.988;2.712;1.783;591;61;316
04.09.2021;04:15;1.021;511;215;425;0;34;1.988;2.716;1.789;590;41;315
04.09.2021;04:30;1.020;507;215;411;0;34;1.989;2.730;1.795;594;34;316
04.09.2021;04:45;1.017;515;208;404;0;34;1.989;2.747;1.812;596;30;318
04.09.2021;05:00;1.017;507;223;416;0;34;1.989;2.769;1.832;629;41;319
04.09.2021;05:15;1.017;507;232;422;0;34;1.989;2.780;1.854;631;44;321
04.09.2021;05:30;1.015;505;231;411;0;34;1.988;2.789;1.865;627;55;319
04.09.2021;05:45;1.015;503;237;409;0;34;1.989;2.788;1.866;625;67;314
04.09.2021;06:00;1.016;509;235;403;1;34;1.992;2.777;1.873;605;73;319
04.09.2021;06:15;1.016;507;222;402;2;34;1.994;2.779;1.880;601;68;323
04.09.2021;06:30;1.016;514;206;401;20;34;1.994;2.784;1.869;604;88;319
04.09.2021;06:45;1.016;516;206;421;66;34;1.994;2.778;1.864;605;50;317
04.09.2021;07:00;1.016;507;202;428;187;34;1.994;2.767;1.893;637;56;316
04.09.2021;07:15;1.018;504;214;413;381;34;1.995;2.778;1.891;650;50;325
04.09.2021;07:30;1.021;521;197;401;637;34;1.995;2.783;1.894;654;41;330
04.09.2021;07:45;1.022;510;178;395;951;34;1.995;2.784;1.894;646;43;330
04.09.2021;08:00;1.025;524;156;375;1.284;34;1.995;2.785;1.889;621;206;327
04.09.2021;08:15;1.027;532;142;353;1.657;34;1.997;2.784;1.889;620;132;320
04.09.2021;08:30;1.029;512;141;327;2.081;34;1.996;2.780;1.892;624;76;317
04.09.2021;08:45;1.031;527;147;305;2.459;34;1.995;2.784;1.881;625;121;314
04.09.2021;09:00;1.033;555;154;292;2.866;34;1.996;2.787;1.875;640;419;316
04.09.2021;09:15;1.033;513;147;302;3.295;34;1.995;2.784;1.876;644;184;319
04.09.2021;09:30;1.033;533;153;299;3.704;34;1.994;2.778;1.864;645;103;327
04.09.2021;09:45;1.034;499;168;274;4.047;34;1.993;2.766;1.827;641;47;325
04.09.2021;10:00;1.034;556;151;310;4.389;34;1.996;2.758;1.772;597;449;314
04.09.2021;10:15;1.034;533;138;318;4.676;34;1.997;2.738;1.751;600;367;317
