Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
01.01.2019;00:00;1.231,5;401;795;4.751;0;32;2.250,5;1.733;836;851;89;341
01.01.2019;00:15;1.234,25;394,75;794;4.937;0;32;2.263,25;1.588;730;822;100;339
01.01.2019;00:30;1.231,5;381,25;792;5.119;0;32;2.246;1.555;649;805;45;341
01.01.2019;00:45;1.233,5;381;756;5.189;0;32;2.241,75;1.459;598;797;42;341
01.01.2019;01:00;1.229;388,25;716;5.298;0;32;2.224,5;1.368;611;766;47;339
01.01.2019;01:15;1.227,75;388;717;5.476;0;32;2.171,75;1.352;602;740;29;331
01.01.2019;01:30;1.226,75;389;718;5.617;0;32;2.112,25;1.322;596;734;29;327
01.01.2019;01:45;1.220,5;388,5;718;5.646;0;32;2.026,75;1.338;596;728;29;324
01.01.2019;02:00;1.216;383,75;643;5.670;0;32;2.011,75;1.339;601;698;85;318
01.01.2019;02:15;1.217;376,75;597;5.716;0;32;2.012,75;1.333;570;675;69;315
01.01.2019;02:30;1.216;376,5;597;5.644;0;32;1.987,75;1.340;528;676;0;316
01.01.2019;02:45;1.217,5;374;623;5.719;0;32;1.941,75;1.331;530;672;0;315
01.01.2019;03:00;1.215,75;379,75;673;5.890;0;32;1.892,25;1.325;567;664;0;313
01.01.2019;03:15;1.214,75;377,75;677;5.897;0;32;1.811;1.316;603;661;0;314
01.01.2019;03:30;1.218,5;370,75;676;6.004;0;32;1.766;1.315;599;665;0;313
01.01.2019;03:45;1.216,75;366,5;673;6.079;0;32;1.752,5;1.315;588;663;0;314
01.01.2019;04:00;1.217;381,25;643;6.340;0;31;1.771,25;1.297;573;671;0;315
01.01.2019;04:15;1.214,5;370,5;654;6.451;0;31;1.788,5;1.300;578;672;4;314
01.01.2019;04:30;1.216,5;358,25;642;6.549;0;31;1.778,25;1.292;580;682;0;315
01.01.2019;04:45;1.219,25;348,25;639;6.582;0;31;1.782;1.290;577;682;0;317
01.01.2019;05:00;1.215,5;346;608;6.775;0;31;1.781;1.271;580;679;1;317
01.01.2019;05:15;1.215;344,25;605;6.810;0;31;1.771;1.264;584;676;1;317
01.01.2019;05:30;1.216,5;347;605;6.900;0;31;1.759,75;1.269;579;683;0;317
01.01.2019;05:45;1.212,75;347,75;562;6.945;0;31;1.749;1.273;569;683;0;317
01.01.2019;06:00;1.216,25;353,25;480;7.178;0;31;1.758,5;1.268;539;683;0;316
01.01.2019;06:15;1.217,5;346,5;485;7.229;0;31;1.757;1.266;541;676;0;316
01.01.2019;06:30;1.217,5;353,5;485;7.316;0;31;1.757,5;1.272;540;678;8;316
01.01.2019;06:45;1.217;363;481;7.364;0;31;1.762,25;1.267;539;678;10;315
01.01.2019;07:00;1.220,75;360,75;481;7.388;0;31;1.780,25;1.258;540;704;8;315
01.01.2019;07:15;1.218,5;359,5;509;7.461;0;31;1.790;1.259;543;703;8;316
01.01.2019;07:30;1.219,5;355,5;517;7.537;0;31;1.796,5;1.259;542;708;8;316
01.01.2019;07:45;1.222,75;356,25;538;7.521;0;31;1.806,25;1.263;558;706;9;316
01.01.2019;08:00;1.225,75;351,5;552;7.596;2;31;1.790,25;1.237;572;712;8;315
01.01.2019;08:15;1.225;353,5;553;7.598;9;31;1.796;1.225;569;714;8;315
01.01.2019;08:30;1.225;363;571;7.598;25;31;1.792,5;1.226;562;715;9;311
01.01.2019;08:45;1.225,25;378;533;7.647;49;31;1.776,75;1.231;565;717;9;312
01.01.2019;09:00;1.224;362,25;527;7.599;78;31;1.742,75;1.233;602;717;9;315
01.01.2019;09:15;1.223;368;506;7.589;116;31;1.744,5;1.229;670;715;8;316
01.01.2019;09:30;1.225,75;375,5;518;7.463;169;31;1.762,5;1.233;685;717;9;316
01.01.2019;09:45;1.228,25;377,5;524;7.549;220;31;1.740,25;1.233;686;716;9;315
01.01.2019;10:00;1.231,5;377,5;536;7.687;274;31;1.698,75;1.239;680;715;9;315
