Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
18.07.2021;00:00;1.040;515;444;3.576;0;36;1.937;1.740;392;628;198;337
18.07.2021;00:15;1.040;498;468;3.512;0;36;1.950;1.671;399;612;221;337
18.07.2021;00:30;1.040;475;498;3.465;0;36;1.950;1.663;398;608;163;336
18.07.2021;00:45;1.040;481;519;3.383;0;36;1.948;1.637;402;615;146;325
18.07.2021;01:00;1.042;486;548;3.294;0;36;1.954;1.605;403;602;156;325
18.07.2021;01:15;1.042;482;548;3.237;0;36;1.954;1.585;411;603;125;333
18.07.2021;01:30;1.042;476;536;3.159;0;36;1.955;1.541;414;603;117;337
18.07.2021;01:45;1.041;470;497;3.078;0;36;1.957;1.442;418;596;105;337
18.07.2021;02:00;1.042;486;471;2.984;0;36;1.965;1.342;422;568;105;337
18.07.2021;02:15;1.041;455;453;2.908;0;36;1.958;1.298;430;556;122;338
18.07.2021;02:30;1.040;455;442;2.873;0;36;1.959;1.277;429;555;132;337
18.07.2021;02:45;1.037;444;430;2.863;0;36;1.958;1.270;434;557;122;338
18.07.2021;03:00;1.036;448;407;2.807;0;36;1.960;1.226;440;546;92;336
18.07.2021;03:15;1.036;447;418;2.759;0;36;1.959;1.194;442;541;98;337
18.07.2021;03:30;1.036;447;419;2.734;0;36;1.961;1.193;443;541;85;337
18.07.2021;03:45;1.033;444;431;2.678;0;36;1.960;1.180;442;541;85;335
18.07.2021;04:00;1.032;432;430;2.677;0;36;1.962;1.164;441;542;80;336
18.07.2021;04:15;1.030;420;413;2.638;0;36;1.961;1.159;441;544;75;336
18.07.2021;04:30;1.031;425;390;2.595;0;36;1.963;1.151;441;545;91;337
18.07.2021;04:45;1.029;422;384;2.552;0;36;1.957;1.154;439;550;80;335
18.07.2021;05:00;1.025;419;381;2.524;2;36;1.957;1.145;441;541;66;331
18.07.2021;05:15;1.024;406;372;2.476;16;36;1.957;1.146;438;543;66;341
18.07.2021;05:30;1.023;407;360;2.419;51;36;1.959;1.154;437;537;66;344
18.07.2021;05:45;1.021;413;344;2.339;104;36;1.952;1.159;437;535;66;340
18.07.2021;06:00;1.022;409;329;2.238;185;36;1.935;1.170;437;538;66;331
18.07.2021;06:15;1.022;398;316;2.120;313;36;1.929;1.164;436;538;73;334
18.07.2021;06:30;1.023;397;313;1.995;491;36;1.922;1.166;435;535;96;340
18.07.2021;06:45;1.023;392;294;1.872;713;36;1.922;1.208;435;538;104;338
18.07.2021;07:00;1.026;397;262;1.720;990;36;1.914;1.295;437;542;168;335
18.07.2021;07:15;1.026;415;256;1.536;1.292;36;1.919;1.303;435;538;168;337
18.07.2021;07:30;1.027;428;244;1.410;1.614;36;1.920;1.304;437;535;248;336
18.07.2021;07:45;1.031;426;238;1.315;1.978;36;1.921;1.259;419;537;263;331
18.07.2021;08:00;1.033;425;235;1.293;2.332;36;1.921;1.177;374;543;348;349
18.07.2021;08:15;1.034;383;244;1.229;2.740;36;1.918;1.163;380;543;306;355
18.07.2021;08:30;1.038;375;229;1.164;3.121;36;1.919;1.162;380;536;314;358
18.07.2021;08:45;1.040;365;228;1.118;3.588;36;1.918;1.131;370;539;281;357
18.07.2021;09:00;1.041;408;248;1.069;3.977;36;1.920;1.130;351;524;498;356
18.07.2021;09:15;1.037;361;263;1.033;4.333;36;1.918;1.119;342;520;355;355
18.07.2021;09:30;1.037;357;273;1.011;4.735;36;1.916;1.106;333;526;320;354
18.07.2021;09:45;1.038;354;278;999;5.079;36;1.917;1.107;333;519;239;354
18.07.2021;10:00;1.038;368;285;993;5.432;36;1.905;1.101;333;519;228;356
18.07.2021;10:15;1.038;352;328;988;5.768;36;1.880;1.092;332;523;230;353
18.07.2021;10:30;1.038;349;356;1.006;6.018;36;1.848;1.095;332;521;233;352
18.07.2021;10:45;1.040;344;375;1.076;6.293;36;1.848;1.080;332;514;137;351
18.07.2021;11:00;1.041;346;392;1.150;6.523;36;1.860;1.088;332;510;91;350
18.07.2021;11:15;1.041;346;389;1.249;6.731;36;1.859;1.094;332;509;90;347
18.07.2021;11:30;1.040;344;381;1.322;6.971;36;1.849;1.079;332;506;88;348
18.07.2021;11:45;1.041;342;407;1.377;7.136;36;1.810;1.070;331;505;76;348
18.07.2021;12:00;1.041;351;467;1.417;7.289;36;1.761;1.060;331;500;70;344
18.07.2021;12:15;1.040;349;515;1.453;7.420;36;1.752;1.062;329;505;56;345
18.07.2021;12:30;1.040;380;487;1.515;7.502;36;1.755;1.070;328;505;72;346
18.07.2021;12:45;1.043;371;469;1.560;7.570;36;1.753;1.063;329;507;60;344
18.07.2021;13:00;1.044;362;492;1.565;7.629;36;1.755;1.057;327;502;49;345
18.07.2021;13:15;1.043;354;517;1.559;7.661;36;1.701;1.064;326;503;48;347
18.07.2021;13:30;1.044;355;548;1.573;7.670;36;1.657;1.068;326;511;49;347
18.07.2021;13:45;1.043;343;598;1.569;7.621;36;1.618;1.056;333;512;48;345
18.07.2021;14:00;1.043;356;680;1.571;7.586;36;1.614;1.061;326;515;72;346
18.07.2021;14:15;1.042;344;691;1.551;7.508;36;1.608;1.064;331;526;52;348
18.07.2021;14:30;1.042;332;637;1.541;7.378;36;1.577;1.062;331;526;48;346
18.07.2021;14:45;1.040;327;614;1.619;7.268;36;1.575;1.056;331;519;48;345
18.07.2021;15:00;1.040;345;651;1.773;7.107;36;1.593;1.061;331;520;48;347
18.07.2021;15:15;1.039;345;661;1.893;6.933;36;1.618;1.065;333;522;48;345
18.07.2021;15:30;1.038;329;661;1.952;6.763;36;1.607;1.064;331;522;48;344
18.07.2021;15:45;1.036;333;648;2.068;6.554;36;1.594;1.059;333;520;48;347
18.07.2021;16:00;1.035;362;626;2.049;6.328;36;1.570;1.061;342;518;48;347
18.07.2021;16:15;1.035;311;619;2.187;6.066;36;1.595;1.076;342;513;48;346
18.07.2021;16:30;1.034;317;648;2.426;5.782;36;1.599;1.067;344;509;48;347
18.07.2021;16:45;1.032;336;655;2.654;5.468;36;1.685;1.064;345;512;48;350
18.07.2021;17:00;1.033;315;651;2.685;5.108;36;1.751;1.071;354;520;48;352
18.07.2021;17:15;1.034;328;658;2.969;4.705;36;1.781;1.085;355;514;48;352
18.07.2021;17:30;1.034;325;689;3.120;4.333;36;1.817;1.095;359;516;52;353
18.07.2021;17:45;1.031;369;719;3.153;3.948;36;1.853;1.197;360;523;95;356
18.07.2021;18:00;1.033;349;702;3.228;3.479;36;1.883;1.345;342;548;162;351
18.07.2021;18:15;1.034;332;703;3.226;3.007;36;1.927;1.497;345;555;243;346
18.07.2021;18:30;1.033;325;688;3.258;2.562;36;1.945;1.578;345;591;262;349
18.07.2021;18:45;1.032;344;698;3.242;2.121;36;1.949;1.704;346;599;275;353
18.07.2021;19:00;1.033;342;720;3.189;1.720;36;1.934;1.862;348;604;276;354
18.07.2021;19:15;1.033;350;743;3.143;1.327;36;1.936;1.937;353;619;302;353
18.07.2021;19:30;1.033;368;733;3.035;1.022;36;1.946;1.979;361;626;391;351
18.07.2021;19:45;1.034;381;735;2.937;769;36;1.948;2.035;390;628;547;349
18.07.2021;20:00;1.036;329;756;2.843;569;36;1.949;2.102;392;608;354;355
18.07.2021;20:15;1.037;375;738;2.826;421;36;1.953;2.143;392;628;500;355
18.07.2021;20:30;1.038;382;733;2.686;244;36;1.956;2.158;401;624;571;356
18.07.2021;20:45;1.037;382;740;2.601;128;36;1.958;2.164;408;625;651;356
18.07.2021;21:00;1.037;367;753;2.600;57;36;1.957;2.183;408;637;488;359
18.07.2021;21:15;1.039;366;740;2.585;13;36;1.958;2.208;404;636;427;359
18.07.2021;21:30;1.039;378;725;2.544;3;36;1.958;2.223;398;645;496;360
18.07.2021;21:45;1.039;371;726;2.495;0;36;1.956;2.223;396;649;530;359
18.07.2021;22:00;1.040;371;747;2.451;0;36;1.958;2.216;399;642;727;360
18.07.2021;22:15;1.040;373;733;2.430;0;36;1.959;2.213;401;645;673;358
18.07.2021;22:30;1.040;379;728;2.443;0;36;1.959;2.203;388;648;663;358
18.07.2021;22:45;1.039;378;714;2.485;2;36;1.956;2.185;379;649;514;357
18.07.2021;23:00;1.039;384;694;2.438;0;36;1.959;2.205;377;657;417;358
18.07.2021;23:15;1.040;358;647;2.436;0;36;1.957;2.185;376;659;277;357
18.07.2021;23:30;1.041;366;629;2.420;0;36;1.957;2.204;372;661;253;362
18.07.2021;23:45;1.040;369;616;2.396;0;36;1.950;2.175;372;655;223;362
19.07.2021;00:00;1.039;388;623;2.390;0;36;1.957;2.208;363;630;228;341
19.07.2021;00:15;1.039;366;650;2.340;0;36;1.959;2.162;356;623;148;340
19.07.2021;00:30;1.039;380;683;2.233;0;36;1.960;2.183;353;599;161;341
19.07.2021;00:45;1.038;385;667;2.200;0;36;1.961;2.184;353;603;165;340
19.07.2021;01:00;1.038;386;644;2.144;0;36;1.963;2.171;352;612;119;341
19.07.2021;01:15;1.039;385;643;2.099;0;36;1.964;2.146;354;608;91;342
19.07.2021;01:30;1.038;384;662;2.083;0;36;1.964;2.160;353;608;96;341
19.07.2021;01:45;1.038;378;667;2.076;0;36;1.961;2.134;355;611;79;339
19.07.2021;02:00;1.036;389;705;2.014;0;36;1.965;2.156;351;612;104;331
19.07.2021;02:15;1.035;385;695;1.989;0;36;1.963;2.128;352;615;75;341
19.07.2021;02:30;1.035;403;667;1.964;0;36;1.966;2.151;346;622;97;344
19.07.2021;02:45;1.032;405;665;1.898;0;36;1.967;2.164;348;625;105;342
19.07.2021;03:00;1.031;408;689;1.796;0;36;1.968;2.164;350;632;117;341
19.07.2021;03:15;1.031;399;679;1.713;0;36;1.969;2.193;332;628;110;335
19.07.2021;03:30;1.030;403;645;1.681;0;36;1.970;2.207;355;629;118;336
19.07.2021;03:45;1.027;404;618;1.609;0;36;1.971;2.210;341;651;133;341
19.07.2021;04:00;1.026;400;575;1.558;0;36;1.970;2.205;346;709;121;342
19.07.2021;04:15;1.026;409;578;1.524;0;36;1.970;2.204;364;730;166;342
19.07.2021;04:30;1.026;401;589;1.504;0;36;1.971;2.211;419;749;161;341
19.07.2021;04:45;1.026;405;569;1.472;0;36;1.970;2.203;476;760;174;343
19.07.2021;05:00;1.026;392;561;1.460;1;36;1.968;2.170;517;802;122;344
19.07.2021;05:15;1.025;397;572;1.432;11;36;1.968;2.157;589;837;128;341
19.07.2021;05:30;1.025;410;550;1.423;41;36;1.966;2.152;682;969;151;342
19.07.2021;05:45;1.023;415;507;1.439;80;36;1.970;2.187;770;1.067;189;341
19.07.2021;06:00;1.025;389;474;1.397;178;36;1.965;2.162;861;1.170;91;362
19.07.2021;06:15;1.025;405;464;1.365;295;36;1.972;2.198;927;1.183;180;358
19.07.2021;06:30;1.026;408;469;1.303;447;36;1.973;2.223;1.010;1.206;266;362
19.07.2021;06:45;1.026;411;485;1.213;653;36;1.972;2.237;1.109;1.240;384;362
