Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
16.07.2021;00:00;1.034;536;1.029;1.194;0;36;1.975;2.205;1.447;1.125;102;368
16.07.2021;00:15;1.034;535;1.019;1.143;0;36;1.974;2.207;1.348;1.137;93;368
16.07.2021;00:30;1.034;535;1.020;1.123;0;36;1.974;2.200;1.291;1.158;73;367
16.07.2021;00:45;1.034;535;1.013;1.101;0;36;1.974;2.207;1.174;1.161;77;365
16.07.2021;01:00;1.034;567;968;1.093;0;36;1.976;2.222;1.142;1.195;111;364
16.07.2021;01:15;1.032;567;939;1.104;0;36;1.975;2.204;1.130;1.203;94;363
16.07.2021;01:30;1.032;547;933;1.066;0;36;1.975;2.206;1.110;1.197;100;362
16.07.2021;01:45;1.031;544;913;1.034;0;36;1.975;2.187;1.101;1.188;102;362
16.07.2021;02:00;1.034;551;867;1.016;0;36;1.976;2.152;1.095;1.161;118;364
16.07.2021;02:15;1.033;544;836;1.020;0;36;1.975;2.157;1.091;1.153;96;362
16.07.2021;02:30;1.033;537;830;1.033;0;36;1.974;2.140;1.094;1.154;81;362
16.07.2021;02:45;1.032;557;812;1.039;0;36;1.974;2.141;1.091;1.158;79;360
16.07.2021;03:00;1.031;565;799;1.021;0;36;1.975;2.155;1.050;1.122;79;363
16.07.2021;03:15;1.031;557;793;1.001;0;36;1.974;2.146;1.039;1.091;77;364
16.07.2021;03:30;1.030;556;812;1.000;0;36;1.975;2.145;1.042;1.092;77;364
16.07.2021;03:45;1.026;555;815;995;0;36;1.975;2.169;1.050;1.121;87;364
16.07.2021;04:00;1.028;567;799;990;0;36;1.976;2.216;1.054;1.179;136;366
16.07.2021;04:15;1.026;584;780;994;0;36;1.976;2.226;1.063;1.176;97;366
16.07.2021;04:30;1.026;584;790;998;0;36;1.981;2.227;1.076;1.178;108;369
16.07.2021;04:45;1.024;586;811;1.005;1;36;1.982;2.234;1.109;1.192;118;368
16.07.2021;05:00;1.024;568;824;994;3;36;1.981;2.265;1.142;1.197;106;371
16.07.2021;05:15;1.024;570;827;984;19;36;1.980;2.273;1.173;1.220;103;370
16.07.2021;05:30;1.024;573;827;976;46;36;1.982;2.288;1.222;1.243;95;372
16.07.2021;05:45;1.023;576;837;960;94;36;1.982;2.275;1.299;1.286;89;371
16.07.2021;06:00;1.024;594;812;926;172;36;1.979;2.274;1.400;1.357;141;370
16.07.2021;06:15;1.024;605;787;903;286;36;1.981;2.314;1.484;1.427;260;369
16.07.2021;06:30;1.024;610;780;874;445;36;1.982;2.320;1.575;1.453;301;370
16.07.2021;06:45;1.023;613;747;849;633;36;1.982;2.318;1.618;1.458;511;372
16.07.2021;07:00;1.025;599;727;805;847;36;1.981;2.306;1.642;1.464;456;368
16.07.2021;07:15;1.026;597;747;775;1.081;36;1.983;2.317;1.655;1.458;593;371
16.07.2021;07:30;1.027;598;755;730;1.323;36;1.982;2.318;1.691;1.464;600;371
16.07.2021;07:45;1.029;589;754;693;1.584;36;1.983;2.313;1.714;1.465;601;372
16.07.2021;08:00;1.031;575;731;662;1.852;36;1.984;2.311;1.724;1.467;655;369
16.07.2021;08:15;1.032;601;690;633;2.126;36;1.985;2.312;1.753;1.470;579;369
16.07.2021;08:30;1.033;594;666;616;2.418;36;1.983;2.318;1.775;1.485;520;369
16.07.2021;08:45;1.036;571;652;590;2.716;36;1.985;2.346;1.810;1.485;356;366
16.07.2021;09:00;1.037;576;632;569;3.030;36;1.983;2.365;1.762;1.482;491;364
16.07.2021;09:15;1.036;576;628;536;3.354;36;1.982;2.366;1.783;1.473;326;365
16.07.2021;09:30;1.036;556;607;507;3.657;36;1.982;2.377;1.781;1.437;246;368
16.07.2021;09:45;1.036;551;612;493;3.954;36;1.981;2.384;1.774;1.425;197;365
16.07.2021;10:00;1.036;583;612;478;4.245;36;1.982;2.388;1.800;1.446;541;365
16.07.2021;10:15;1.036;575;586;475;4.478;36;1.982;2.387;1.797;1.445;443;363
16.07.2021;10:30;1.037;560;569;484;4.674;36;1.981;2.386;1.783;1.446;320;365
16.07.2021;10:45;1.036;564;580;487;4.819;36;1.981;2.389;1.763;1.443;326;367
16.07.2021;11:00;1.038;594;585;508;5.037;36;1.979;2.390;1.782;1.424;308;365
16.07.2021;11:15;1.038;583;574;521;5.221;36;1.978;2.392;1.771;1.401;249;363
16.07.2021;11:30;1.039;564;581;529;5.361;36;1.977;2.386;1.774;1.394;245;362
16.07.2021;11:45;1.041;551;593;546;5.558;36;1.977;2.388;1.749;1.383;247;364
16.07.2021;12:00;1.040;551;616;570;5.589;36;1.977;2.389;1.627;1.364;336;365
16.07.2021;12:15;1.041;561;644;614;5.682;36;1.977;2.396;1.611;1.362;249;365
