Datum;Uhrzeit;Gesamt (Netzlast)[MWh];Residuallast[MWh];Pumpspeicher[MWh]
16.07.2021;00:00;12.237;10.014;234
16.07.2021;00:15;12.141;9.979;231
16.07.2021;00:30;12.002;9.859;309
16.07.2021;00:45;11.942;9.829;297
16.07.2021;01:00;11.734;9.673;273
16.07.2021;01:15;11.653;9.610;252
16.07.2021;01:30;11.553;9.554;298
16.07.2021;01:45;11.465;9.518;313
16.07.2021;02:00;11.322;9.439;252
16.07.2021;02:15;11.227;9.370;280
16.07.2021;02:30;11.249;9.386;269
16.07.2021;02:45;11.290;9.439;265
16.07.2021;03:00;11.292;9.473;342
16.07.2021;03:15;11.261;9.467;319
16.07.2021;03:30;11.291;9.480;336
16.07.2021;03:45;11.311;9.501;324
16.07.2021;04:00;11.402;9.613;327
16.07.2021;04:15;11.433;9.660;312
16.07.2021;04:30;11.552;9.764;286
16.07.2021;04:45;11.697;9.880;261
16.07.2021;05:00;12.069;10.248;334
16.07.2021;05:15;12.159;10.328;297
16.07.2021;05:30;12.310;10.461;250
16.07.2021;05:45;12.561;10.671;237
16.07.2021;06:00;13.108;11.198;207
16.07.2021;06:15;13.549;11.573;92
16.07.2021;06:30;13.886;11.788;45
16.07.2021;06:45;14.293;12.064;6
16.07.2021;07:00;14.706;12.327;2
16.07.2021;07:15;14.978;12.375;2
16.07.2021;07:30;15.212;12.405;4
16.07.2021;07:45;15.413;12.382;3
16.07.2021;08:00;15.658;12.413;28
16.07.2021;08:15;15.786;12.336;32
16.07.2021;08:30;16.026;12.326;2
16.07.2021;08:45;16.167;12.210;2
16.07.2021;09:00;16.223;11.992;2
16.07.2021;09:15;16.398;11.881;2
16.07.2021;09:30;16.477;11.706;2
16.07.2021;09:45;16.613;11.555;3
16.07.2021;10:00;16.820;11.486;3
16.07.2021;10:15;16.835;11.297;2
16.07.2021;10:30;16.881;11.154;3
16.07.2021;10:45;16.905;11.020;3
16.07.2021;11:00;16.970;10.840;3
16.07.2021;11:15;17.095;10.778;3
16.07.2021;11:30;17.208;10.738;3
16.07.2021;11:45;17.295;10.598;4
16.07.2021;12:00;17.181;10.407;8
16.07.2021;12:15;17.120;10.181;9
16.07.2021;12:30;16.917;9.877;77
16.07.2021;12:45;16.857;9.711;118
16.07.2021;13:00;16.762;9.445;131
16.07.2021;13:15;16.627;9.247;118
16.07.2021;13:30;16.556;9.082;125
16.07.2021;13:45;16.372;8.821;149
16.07.2021;14:00;16.077;8.519;165
16.07.2021;14:15;16.157;8.573;149
16.07.2021;14:30;16.048;8.563;131
16.07.2021;14:45;16.010;8.610;133
16.07.2021;15:00;15.985;8.671;153
16.07.2021;15:15;15.839;8.593;150
16.07.2021;15:30;15.847;8.793;145
16.07.2021;15:45;15.701;8.808;85
16.07.2021;16:00;15.588;8.730;139
16.07.2021;16:15;15.427;8.732;150
16.07.2021;16:30;15.393;8.832;116
16.07.2021;16:45;15.422;9.082;127
16.07.2021;17:00;15.539;9.370;240
16.07.2021;17:15;15.562;9.555;150
16.07.2021;17:30;15.557;9.783;142
16.07.2021;17:45;15.491;9.991;35
16.07.2021;18:00;15.475;10.299;146
16.07.2021;18:15;15.396;10.460;93
16.07.2021;18:30;15.288;10.644;72
16.07.2021;18:45;15.222;10.888;31
16.07.2021;19:00;15.258;11.243;17
16.07.2021;19:15;15.037;11.302;6
16.07.2021;19:30;14.893;11.379;4
16.07.2021;19:45;14.755;11.441;3
16.07.2021;20:00;14.468;11.300;3
16.07.2021;20:15;14.323;11.311;3
16.07.2021;20:30;14.185;11.322;3
16.07.2021;20:45;13.973;11.194;3
16.07.2021;21:00;13.738;10.992;3
16.07.2021;21:15;13.608;10.875;3
16.07.2021;21:30;13.512;10.750;3
16.07.2021;21:45;13.458;10.634;3
16.07.2021;22:00;13.353;10.527;3
16.07.2021;22:15;13.176;10.339;3
16.07.2021;22:30;12.994;10.166;2
16.07.2021;22:45;12.723;9.872;3
16.07.2021;23:00;12.521;9.617;3
16.07.2021;23:15;12.358;9.393;4
16.07.2021;23:30;12.170;9.218;5
16.07.2021;23:45;12.075;9.177;5
17.07.2021;00:00;11.754;8.895;100
17.07.2021;00:15;11.640;8.754;15
17.07.2021;00:30;11.483;8.589;7
17.07.2021;00:45;11.359;8.427;55
17.07.2021;01:00;11.090;8.126;40
17.07.2021;01:15;10.995;7.993;34
17.07.2021;01:30;10.874;7.902;66
17.07.2021;01:45;10.888;7.952;92
17.07.2021;02:00;10.795;7.907;62
17.07.2021;02:15;10.691;7.806;84
17.07.2021;02:30;10.577;7.694;96
17.07.2021;02:45;10.561;7.678;112
17.07.2021;03:00;10.441;7.566;103
17.07.2021;03:15;10.337;7.424;99
17.07.2021;03:30;10.393;7.447;106
17.07.2021;03:45;10.417;7.436;123
17.07.2021;04:00;10.323;7.354;192
17.07.2021;04:15;10.347;7.371;188
17.07.2021;04:30;10.403;7.416;162
17.07.2021;04:45;10.355;7.328;195
17.07.2021;05:00;10.536;7.531;234
17.07.2021;05:15;10.506;7.527;231
17.07.2021;05:30;10.459;7.464;327
17.07.2021;05:45;10.499;7.522;220
17.07.2021;06:00;10.649;7.721;186
17.07.2021;06:15;10.723;7.755;114
17.07.2021;06:30;10.863;7.854;92
17.07.2021;06:45;11.059;7.996;53
17.07.2021;07:00;11.362;8.254;62
17.07.2021;07:15;11.636;8.444;53
17.07.2021;07:30;11.790;8.519;54
17.07.2021;07:45;12.010;8.623;52
17.07.2021;08:00;12.284;8.717;6
17.07.2021;08:15;12.545;8.783;3
17.07.2021;08:30;12.791;8.918;3
17.07.2021;08:45;12.993;8.987;3
17.07.2021;09:00;13.143;8.993;2
17.07.2021;09:15;13.207;8.935;2
17.07.2021;09:30;13.417;8.926;2
17.07.2021;09:45;13.595;8.871;6
17.07.2021;10:00;13.603;8.613;74
17.07.2021;10:15;13.695;8.445;70
17.07.2021;10:30;13.810;8.224;69
17.07.2021;10:45;13.866;7.995;70
17.07.2021;11:00;13.881;7.764;110
17.07.2021;11:15;13.955;7.616;148
17.07.2021;11:30;14.024;7.478;147
17.07.2021;11:45;14.007;7.232;227
17.07.2021;12:00;14.009;7.011;176
17.07.2021;12:15;13.992;6.730;123
17.07.2021;12:30;13.884;6.419;180
