Datum;Uhrzeit;Gesamt (Netzlast)[MWh];Residuallast[MWh];Pumpspeicher[MWh]
12.07.2021;00:00;11.270;9.700;49
12.07.2021;00:15;11.128;9.547;42
12.07.2021;00:30;10.993;9.412;66
12.07.2021;00:45;10.841;9.292;135
12.07.2021;01:00;10.466;8.976;204
12.07.2021;01:15;10.290;8.828;250
12.07.2021;01:30;10.227;8.741;250
12.07.2021;01:45;10.201;8.695;285
12.07.2021;02:00;10.189;8.694;319
12.07.2021;02:15;10.158;8.694;342
12.07.2021;02:30;10.142;8.685;302
12.07.2021;02:45;10.127;8.672;302
12.07.2021;03:00;10.213;8.786;408
12.07.2021;03:15;10.198;8.804;448
12.07.2021;03:30;10.253;8.876;446
12.07.2021;03:45;10.253;8.899;445
12.07.2021;04:00;10.383;9.012;457
12.07.2021;04:15;10.512;9.146;450
12.07.2021;04:30;10.684;9.335;388
12.07.2021;04:45;10.726;9.411;339
12.07.2021;05:00;10.989;9.669;441
12.07.2021;05:15;11.133;9.808;445
12.07.2021;05:30;11.419;10.113;293
12.07.2021;05:45;11.783;10.442;126
12.07.2021;06:00;12.514;11.082;92
12.07.2021;06:15;13.006;11.445;44
12.07.2021;06:30;13.349;11.636;19
12.07.2021;06:45;13.661;11.777;2
12.07.2021;07:00;14.213;12.164;2
12.07.2021;07:15;14.506;12.251;2
12.07.2021;07:30;14.826;12.321;2
12.07.2021;07:45;15.115;12.311;2
12.07.2021;08:00;15.492;12.373;2
12.07.2021;08:15;15.721;12.297;2
12.07.2021;08:30;15.880;12.077;2
12.07.2021;08:45;15.921;11.717;2
12.07.2021;09:00;15.827;11.210;2
12.07.2021;09:15;15.929;10.850;3
12.07.2021;09:30;16.158;10.638;4
12.07.2021;09:45;16.308;10.365;100
12.07.2021;10:00;16.490;10.160;74
12.07.2021;10:15;16.721;10.076;121
12.07.2021;10:30;16.812;9.855;139
12.07.2021;10:45;16.965;9.735;187
12.07.2021;11:00;17.060;9.590;92
12.07.2021;11:15;17.224;9.514;86
12.07.2021;11:30;17.313;9.465;89
12.07.2021;11:45;17.286;9.332;118
12.07.2021;12:00;17.219;9.134;81
12.07.2021;12:15;17.161;8.979;91
12.07.2021;12:30;17.051;8.878;88
12.07.2021;12:45;16.998;8.770;91
12.07.2021;13:00;16.964;8.632;230
12.07.2021;13:15;16.977;8.679;212
12.07.2021;13:30;16.973;8.712;220
12.07.2021;13:45;16.909;8.778;264
12.07.2021;14:00;16.841;8.835;119
12.07.2021;14:15;16.699;8.851;94
12.07.2021;14:30;16.624;8.927;69
12.07.2021;14:45;16.547;9.053;58
12.07.2021;15:00;16.409;9.112;57
12.07.2021;15:15;16.347;9.215;57
12.07.2021;15:30;16.240;9.319;30
12.07.2021;15:45;16.172;9.510;27
12.07.2021;16:00;16.196;9.782;28
