Datum;Uhrzeit;Gesamt (Netzlast)[MWh];Residuallast[MWh];Pumpspeicher[MWh]
14.07.2021;00:00;12.257;10.456;218
14.07.2021;00:15;12.176;10.428;192
14.07.2021;00:30;12.167;10.470;195
14.07.2021;00:45;12.028;10.339;243
14.07.2021;01:00;11.854;10.179;372
14.07.2021;01:15;11.741;10.081;442
14.07.2021;01:30;11.700;10.081;473
14.07.2021;01:45;11.682;10.078;495
14.07.2021;02:00;11.605;10.036;519
14.07.2021;02:15;11.495;9.946;538
14.07.2021;02:30;11.543;10.029;544
14.07.2021;02:45;11.556;10.064;555
14.07.2021;03:00;11.478;10.009;578
14.07.2021;03:15;11.468;10.006;588
14.07.2021;03:30;11.480;10.029;548
14.07.2021;03:45;11.432;9.946;565
14.07.2021;04:00;11.614;10.120;471
14.07.2021;04:15;11.721;10.270;418
14.07.2021;04:30;11.785;10.346;373
14.07.2021;04:45;11.862;10.391;334
14.07.2021;05:00;12.205;10.692;266
14.07.2021;05:15;12.358;10.809;208
14.07.2021;05:30;12.631;11.010;93
14.07.2021;05:45;12.894;11.249;130
14.07.2021;06:00;13.548;11.884;147
14.07.2021;06:15;13.951;12.245;39
14.07.2021;06:30;14.267;12.492;10
14.07.2021;06:45;14.642;12.775;25
14.07.2021;07:00;14.954;12.996;13
14.07.2021;07:15;15.270;13.224;4
14.07.2021;07:30;15.596;13.454;2
14.07.2021;07:45;15.751;13.474;2
14.07.2021;08:00;16.050;13.656;1
14.07.2021;08:15;16.276;13.744;1
14.07.2021;08:30;16.450;13.839;1
14.07.2021;08:45;16.588;13.873;1
14.07.2021;09:00;16.731;13.971;1
14.07.2021;09:15;16.909;14.034;1
14.07.2021;09:30;17.060;14.061;1
14.07.2021;09:45;17.206;14.086;1
14.07.2021;10:00;17.167;13.914;40
14.07.2021;10:15;17.227;13.844;42
14.07.2021;10:30;17.258;13.758;45
14.07.2021;10:45;17.307;13.640;16
14.07.2021;11:00;17.435;13.555;15
14.07.2021;11:15;17.522;13.363;15
14.07.2021;11:30;17.579;13.196;17
14.07.2021;11:45;17.660;13.150;1
14.07.2021;12:00;17.575;12.812;41
14.07.2021;12:15;17.348;12.375;142
14.07.2021;12:30;17.273;12.079;154
14.07.2021;12:45;17.278;11.908;343
14.07.2021;13:00;17.323;11.680;341
14.07.2021;13:15;17.208;11.226;415
14.07.2021;13:30;16.919;10.724;458
14.07.2021;13:45;16.785;10.373;663
14.07.2021;14:00;16.597;9.968;516
14.07.2021;14:15;16.649;9.876;391
14.07.2021;14:30;16.814;9.904;427
14.07.2021;14:45;16.741;9.690;489
14.07.2021;15:00;16.785;9.781;453
14.07.2021;15:15;16.673;9.779;461
14.07.2021;15:30;16.523;9.727;429
14.07.2021;15:45;16.340;9.621;429
14.07.2021;16:00;16.242;9.636;367
14.07.2021;16:15;16.228;9.779;254
14.07.2021;16:30;16.006;9.641;245
14.07.2021;16:45;15.873;9.617;202
14.07.2021;17:00;16.206;10.047;233
14.07.2021;17:15;16.255;10.290;202
14.07.2021;17:30;16.196;10.449;189
14.07.2021;17:45;16.175;10.724;87
14.07.2021;18:00;16.129;11.018;200
14.07.2021;18:15;16.072;11.310;101
14.07.2021;18:30;15.960;11.479;71
14.07.2021;18:45;15.924;11.739;40
14.07.2021;19:00;15.758;11.833;2
14.07.2021;19:15;15.503;11.798;1
14.07.2021;19:30;15.405;11.859;1
14.07.2021;19:45;15.219;11.863;1
14.07.2021;20:00;15.175;11.962;1
14.07.2021;20:15;14.924;11.893;1
14.07.2021;20:30;14.733;11.911;1
14.07.2021;20:45;14.532;11.864;1
14.07.2021;21:00;14.349;11.785;1
14.07.2021;21:15;14.252;11.790;1
14.07.2021;21:30;14.190;11.844;1
14.07.2021;21:45;14.053;11.809;1
14.07.2021;22:00;13.929;11.758;1
14.07.2021;22:15;13.728;11.555;1
14.07.2021;22:30;13.415;11.218;17
14.07.2021;22:45;13.178;10.990;58
14.07.2021;23:00;12.989;10.816;174
14.07.2021;23:15;12.806;10.658;200
14.07.2021;23:30;12.568;10.480;184
14.07.2021;23:45;12.362;10.309;260
15.07.2021;00:00;12.075;10.030;213
15.07.2021;00:15;12.005;9.929;259
15.07.2021;00:30;11.931;9.888;279
15.07.2021;00:45;11.828;9.850;328
15.07.2021;01:00;11.623;9.734;293
15.07.2021;01:15;11.427;9.574;369
15.07.2021;01:30;11.375;9.536;401
15.07.2021;01:45;11.322;9.523;461
15.07.2021;02:00;11.165;9.391;368
15.07.2021;02:15;11.120;9.319;409
15.07.2021;02:30;11.100;9.313;417
15.07.2021;02:45;11.207;9.445;409
15.07.2021;03:00;11.177;9.432;430
15.07.2021;03:15;11.214;9.472;388
15.07.2021;03:30;11.153;9.397;393
15.07.2021;03:45;11.165;9.390;415
15.07.2021;04:00;11.157;9.374;463
15.07.2021;04:15;11.267;9.448;426
