Datum;Uhrzeit;Gesamt (Netzlast)[MWh];Residuallast[MWh];Pumpspeicher[MWh]
10.07.2021;00:00;11.514;9.299;50
10.07.2021;00:15;11.423;9.185;39
10.07.2021;00:30;11.269;9.017;153
10.07.2021;00:45;11.137;8.848;112
10.07.2021;01:00;10.975;8.656;41
10.07.2021;01:15;10.892;8.548;85
10.07.2021;01:30;10.834;8.534;141
10.07.2021;01:45;10.688;8.391;195
10.07.2021;02:00;10.607;8.359;195
10.07.2021;02:15;10.518;8.309;200
10.07.2021;02:30;10.475;8.275;189
10.07.2021;02:45;10.481;8.260;156
10.07.2021;03:00;10.457;8.276;116
10.07.2021;03:15;10.416;8.269;117
10.07.2021;03:30;10.372;8.207;115
10.07.2021;03:45;10.379;8.216;151
10.07.2021;04:00;10.381;8.242;265
10.07.2021;04:15;10.407;8.245;298
10.07.2021;04:30;10.364;8.176;373
10.07.2021;04:45;10.412;8.203;412
10.07.2021;05:00;10.460;8.216;446
10.07.2021;05:15;10.397;8.101;465
10.07.2021;05:30;10.357;8.061;496
10.07.2021;05:45;10.432;8.102;393
10.07.2021;06:00;10.652;8.220;395
10.07.2021;06:15;10.797;8.269;327
10.07.2021;06:30;10.970;8.359;206
10.07.2021;06:45;11.108;8.387;157
10.07.2021;07:00;11.300;8.435;152
10.07.2021;07:15;11.506;8.479;134
10.07.2021;07:30;11.726;8.515;123
10.07.2021;07:45;11.943;8.530;126
10.07.2021;08:00;12.145;8.409;13
10.07.2021;08:15;12.377;8.333;6
10.07.2021;08:30;12.533;8.127;7
10.07.2021;08:45;12.813;8.020;5
10.07.2021;09:00;12.943;7.735;27
10.07.2021;09:15;13.117;7.487;33
10.07.2021;09:30;13.251;7.209;62
10.07.2021;09:45;13.467;7.060;140
10.07.2021;10:00;13.589;6.790;93
10.07.2021;10:15;13.649;6.501;85
10.07.2021;10:30;13.861;6.410;273
10.07.2021;10:45;14.006;6.251;344
10.07.2021;11:00;14.058;6.089;459
10.07.2021;11:15;14.139;6.021;555
10.07.2021;11:30;14.242;5.978;605
10.07.2021;11:45;14.294;5.888;635
10.07.2021;12:00;14.280;5.822;606
